店名,場所,経度,緯度
ファミリーマート／金沢疋田店,石川県金沢市疋田２丁目 １２３,136.67412,36.60286
セブン‐イレブン／金沢片町１丁目店,石川県金沢市片町１丁目 ４−１６,136.65332,36.56091
ファミリーマート／金沢安原店,石川県金沢市中屋２丁目 ８３,136.58342,36.56327
ファミリーマート／加賀大聖寺南町店,石川県加賀市大聖寺南町 ロ２−１,136.31549,36.30377
ファミリーマート／金沢山科一丁目店,石川県金沢市山科１丁目 ６−５７,136.64651,36.52851
ファミリーマート／金沢リファーレ店,石川県金沢市本町１丁目 ５−３,136.65181,36.57551
ファミリーマート／金沢駅西口店,石川県金沢市北安江１丁目 ２−１５,136.64853,36.58136
ファミリーマート／尼御前ＳＡ下り店,石川県加賀市美岬町 尼ゴジ３−２,136.32297,36.35399
セブン‐イレブン川北橘店,石川県能美郡川北町 ５８,136.54201,36.46879
ファミリーマート／七尾白馬店,石川県七尾市白馬町 ９−１,136.9362,37.02131
ローソン／金沢上安原町店,石川県金沢市上安原２丁目 ２４５,136.58844,36.56613
セブン‐イレブン／羽咋石野町店,石川県羽咋市石野町イ ５５−１,136.80072,36.89468
ローソン／金沢本多町三丁目店,石川県金沢市本多町３丁目 ３−１５,136.65929,36.5576
ファミリーマート／金沢専光寺浜店,石川県金沢市専光寺町ニ ２−１,136.58466,36.58207
セブン‐イレブン／七尾和倉和歌崎店,石川県七尾市和倉町 ヲ１−１,136.91786,37.08952
セブン‐イレブン／金沢京町店,石川県金沢市京町 ２−２,136.6561,36.58063
ファミリーマート／能登松浪店,石川県鳳珠郡能登町字松波 ２６−４０−１,137.23991,37.35348
セブン‐イレブン／金沢米泉町８丁目店,石川県金沢市米泉町８丁目 ９０,136.62613,36.55234
セブン‐イレブン／野々市太平寺３丁目店,石川県野々市市太平寺３丁目 １８６−３,136.60522,36.5307
ファミリーマート／七尾川原町店,石川県七尾市川原町 ２０−１,136.96935,37.0426
ファミリーマート／金沢高尾南店,石川県金沢市高尾南３丁目 ６１,136.62856,36.51862
セブン‐イレブン／金沢泉野町店,石川県金沢市泉野町１丁目 １８−１,136.65425,36.5452
ファミリーマート／志賀町土田店,石川県羽咋郡志賀町矢田 ４−２９−２,136.82407,37.06852
セブン‐イレブン／小松串茶屋町店,石川県小松市串茶屋町 い１４３−２,136.4286,36.37627
セブン‐イレブン／小松島町店,石川県小松市島町 ヲ１−１,136.42996,36.35543
ローソン／金沢駅金沢港口店,石川県金沢市広岡１丁目 ９−２５,136.64653,36.57807
ローソン／武蔵町店,石川県金沢市武蔵町 １４−３３,136.65491,36.57116
ローソン／金沢芳斉二丁目店,石川県金沢市芳斉２丁目 ２６,136.64835,36.57258
ファミリーマート／七尾津向店,石川県七尾市津向町 ト１０６,136.95445,37.05694
ファミリーマート／金沢伏見新町店,石川県金沢市伏見新町 ３３７,136.64992,36.53443
セブン‐イレブン／小松インター店,石川県小松市小島町 ル３３−１,136.43297,36.41969
ファミリーマート／能都宇出津店,石川県鳳珠郡能登町字宇出津 タ１２−１,137.14635,37.31083
セブン‐イレブン／金沢矢木２丁目店,石川県金沢市矢木２丁目 ２１２−１,136.59579,36.55405
ローソン／加賀大聖寺南店,石川県加賀市大聖寺南町 ホ７−８,136.31277,36.30341
セブン‐イレブン／金沢米泉１０丁目店,石川県金沢市米泉町１０丁目 ３９−１０,136.62184,36.55706
ファミリーマート／金沢諸江通り店,石川県金沢市北安江１丁目 １４−１,136.64795,36.58279
ローソン／金沢不動寺町店,石川県金沢市不動寺町ロ １１−１,136.71021,36.60655
ローソン／本津幡店,石川県河北郡津幡町字庄 ト６５−１,136.72697,36.67747
ファミリーマート／金沢菊川店,石川県金沢市本多町１丁目 １８−３,136.66354,36.55303
ファミリーマート／金沢松村店,石川県金沢市松村３丁目 ５４３,136.61308,36.58203
ファミリーマート／羽咋柳田店,石川県羽咋市柳田町 ７４−３−１,136.77699,36.91385
ファミリーマート／金沢千木町店,石川県金沢市千木町ル ５５,136.67026,36.60921
ファミリーマート／金沢百坂店,石川県金沢市百坂町ニ ２３−１,136.6842,36.60596
ファミリーマート／金沢利屋町店,石川県金沢市利屋町る ７,136.72052,36.64408
ファミリーマート／加賀南郷町店,石川県加賀市南郷町 レ７０,136.3242,36.30525
ローソン／金沢藤江北店,石川県金沢市藤江北１丁目 ３０９,136.62378,36.59092
ファミリーマート／羽咋千里浜インター店,石川県羽咋市兵庫町ヨ １８−７,136.77649,36.88564
ローソン／金沢山科店,石川県金沢市山科２丁目 ２−４７,136.6469,36.53068
ファミリーマート／穴水インター店,石川県鳳珠郡穴水町字此木 ８−４２,136.90057,37.24363
セブン‐イレブン／金沢保古３丁目店,石川県金沢市保古３丁目 ３７,136.61717,36.55894
ファミリーマート／金沢桜田町店,石川県金沢市桜田町１丁目 ２１４,136.62029,36.57906
ローソン／金沢問屋町一丁目店,石川県金沢市問屋町１丁目 １１５−１,136.63472,36.60723
ローソン／小松大島町店,石川県小松市大島町 １７０−２,136.44511,36.43322
ファミリーマート／金沢入江店,石川県金沢市入江３丁目 ５４,136.62376,36.56776
ファミリーマート／金沢西念二丁目店,石川県金沢市西念２丁目 ２７−１７,136.64359,36.58516
ファミリーマート／金沢額新保店,石川県金沢市額新保２丁目 ２８４,136.61646,36.51889
ローソン／金沢もりの里店,石川県金沢市もりの里２丁目 ８２,136.68483,36.55711
セブン‐イレブン／金沢薬師堂店,石川県金沢市薬師堂町イ １０２,136.63098,36.5775
ファミリーマート／金沢泉野店,石川県金沢市泉野町５丁目 ６−１４,136.65327,36.54399
セブン‐イレブン／加賀作見町店,石川県加賀市作見町 ニ２７,136.35834,36.32024
セブン‐イレブン／金沢円光寺本町店,石川県金沢市円光寺本町 ２４０,136.64285,36.53325
セブン‐イレブン／金沢駅西本町３丁目店,石川県金沢市駅西本町３丁目 １５−１３−２,136.63356,36.58105
ファミリーマート／金沢彦三店,石川県金沢市彦三町２丁目 ２−１４,136.65738,36.57368
ファミリーマート／能登空港インター店,石川県輪島市三井町洲衛 ロ１０３−１,136.93095,37.28906
ローソン／能美寺井店,石川県能美市寺井町 や２６,136.50438,36.44405
ファミリーマート／小松額見町店,石川県小松市額見町 工業団地４−４,136.40898,36.35877
ファミリーマート／金沢二万堂店,石川県金沢市西泉１丁目 １−２,136.63481,36.54478
ファミリーマート／金沢稚日野店,石川県金沢市稚日野町北 １９−１,136.59541,36.57812
ローソン／金沢八日市店,石川県金沢市八日市４丁目 ３３２,136.60742,36.54888
セブン‐イレブン／野々市上林４丁目店,石川県野々市市上林４丁目 ３６６,136.60599,36.50653
ローソン／七尾光陽台店,石川県七尾市光陽台 ２４−１,136.9257,37.08361
ファミリーマート／窪四丁目店,石川県金沢市窪４丁目 ４４７,136.63908,36.52695
セブン‐イレブン／金沢芳斉２丁目店,石川県金沢市芳斉２丁目 ９−６,136.64703,36.57291
ローソン／金沢タテマチストリート店,石川県金沢市竪町 ２４,136.65482,36.55891
ファミリーマート／薬コメヤ金沢武蔵店,石川県金沢市下堤町 ３５−１,136.65538,36.57091
セブン‐イレブン／小松佐々木町店,石川県小松市佐々木町 １３９,136.48943,36.40287
ローソン／白山竹松町店,石川県白山市竹松町 １０４８−１,136.55464,36.53861
ファミリーマート／羽咋高校前店,石川県羽咋市東川原町柳橋 １８,136.78851,36.89467
セブン‐イレブン／野々市押野２丁目店,石川県野々市市押野２丁目 ８５,136.61201,36.5395
ファミリーマート／わくなみや小橋店,石川県金沢市小橋町 ４−２０,136.66458,36.57734
ファミリーマート／金沢無量寺店,石川県金沢市無量寺５丁目 ６９−１,136.61015,36.60227
セブン‐イレブン／金沢直江町店,石川県金沢市直江町イ ２３９,136.63513,36.60208
セブン‐イレブン／金沢問屋町２丁目店,石川県金沢市問屋町２丁目 ８４,136.64079,36.60604
セブン‐イレブン／金沢古府３丁目店,石川県金沢市古府３丁目 ３３,136.60826,36.57041
セブン‐イレブン／能美山田町店,石川県能美市山田町 １５−１,136.54817,36.45676
セブン‐イレブン／金沢専光寺町店,石川県金沢市専光寺町レ ４−２,136.57837,36.58351
ヤマザキＹショップ小松かじ店,石川県小松市問屋町 ５６,136.46614,36.42031
ファミリーマート／小松城南店,石川県小松市城南町 ２４−１,136.43771,36.40715
ファミリーマート／白山藤木店,石川県白山市藤木町 ４７９−１,136.58269,36.48237
ファミリーマート／白山曽谷町店,石川県白山市曽谷町 へ１３０−４,136.61937,36.49005
ファミリーマート／金沢広岡三丁目店,石川県金沢市広岡３丁目 ３−４７,136.64546,36.58311
ファミリーマート／金沢乙丸町店,石川県金沢市神宮寺３丁目 １１−１５,136.66599,36.58724
ファミリーマート／津幡潟端店,石川県河北郡津幡町字潟端 ４０８,136.71359,36.65552
ファミリーマート／金沢朝霧台店,石川県金沢市朝霧台２丁目 １４,136.72527,36.5095
ファミリーマート／堅田店,石川県金沢市堅田町甲 ７５−１,136.70085,36.60891
セブン‐イレブン／羽咋千里浜インター店,石川県羽咋市兵庫町午 ４−６,136.77798,36.88532
セブン‐イレブン／中能登羽坂店,石川県鹿島郡中能登町羽坂 い１５−１,136.90823,36.99842
ファミリーマート／能美大成南店,石川県能美市大成町 ト３２−１,136.46472,36.45029
ファミリーマート／金沢田上店,石川県金沢市田上の里２丁目 １０５,136.69672,36.54219
ファミリーマート／金沢高畠一丁目店,石川県金沢市高畠１丁目 ３２３,136.61269,36.57125
ローソン／金沢大豆田本町店,石川県金沢市大豆田本町甲 ２８３−１,136.63811,36.57138
ファミリーマート／能美中町店,石川県能美市中町 ソ１８−１２,136.45242,36.4515
ファミリーマート／松任成町店,石川県白山市新成４丁目 ２３５,136.55388,36.53052
ファミリーマート／穴水川島店,石川県鳳珠郡穴水町字川島 キ１０２−３,136.91136,37.23402
ファミリーマート／宝達志水店,石川県羽咋郡宝達志水町子浦 甲３２,136.79478,36.86544
セブン‐イレブン／金沢昭和町店,石川県金沢市昭和町 １６−１−１Ｆ,136.64848,36.5763
セブン‐イレブン／金沢大手町店,石川県金沢市大手町 １５−１７,136.6608,36.56992
セブン‐イレブン／金沢福増町店,石川県金沢市福増町北 １３８０−１,136.58139,36.56499
ファミリーマート／金沢木曳野店,石川県金沢市木曳野３丁目 ２１,136.6031,36.60117
ファミリーマート／加賀長谷田店,石川県加賀市山中温泉長谷田町 ロ４２７,136.35986,36.26839
セブン‐イレブン／金沢鞍月４丁目店,石川県金沢市鞍月４丁目 １８１,136.62259,36.59704
ファミリーマート／小松園町店,石川県小松市園町 ホ１３７−５,136.45863,36.40921
ファミリーマート／珠洲中央店,石川県珠洲市上戸町北方 い５２−１,137.25838,37.4353
セブン‐イレブン／かほく白尾インター店,石川県かほく市白尾 ル１４−３,136.69186,36.7198
ファミリーマート／小松沖町店,石川県小松市沖町 １街区１６,136.46463,36.40252
ファミリーマート／金沢金石東店,石川県金沢市金石東３丁目 ２−５,136.59557,36.60026
ファミリーマート／金沢高柳店,石川県金沢市高柳町ニ １０−１,136.66286,36.5994
ローソン／金沢片町二丁目店,石川県金沢市片町２丁目 ２５−２０,136.65103,36.5605
ファミリーマート／羽咋今浜店,石川県羽咋郡宝達志水町今浜 ト１７６−１,136.75523,36.83406
セブン‐イレブン／七尾国分町店,石川県七尾市国分町 ナ４９,136.95506,37.03525
セブン‐イレブン／金沢北安江４丁目店,石川県金沢市北安江４丁目 １１−２７,136.64735,36.58818
セブン‐イレブン／金沢高岡町店,石川県金沢市高岡町 ３−２０,136.65459,36.5699
ファミリーマート／小松北浅井店,石川県小松市北浅井町 甲４,136.4548,36.38973
ファミリーマート／小松能美店,石川県小松市能美町 イ１−１,136.48721,36.40916
ファミリーマート／金沢上堤町店,石川県金沢市上堤町 １−１５,136.65474,36.56881
ファミリーマート／小松三谷町店,石川県小松市三谷町 あ１６８−１,136.45863,36.37426
ローソン／恵寿病院店,石川県七尾市富岡町 ９４,136.96075,37.05056
セブン‐イレブン／金沢泉野出町１丁目店,石川県金沢市泉野出町１丁目 １６−１６,136.65417,36.53913
セブン‐イレブン／金沢中央郵便局前店,石川県金沢市三社町 ３−２１,136.64597,36.57175
ローソン／金沢横川店,石川県金沢市横川３丁目 ６０,136.62729,36.53869
ファミリーマート／鹿島能登部店,石川県鹿島郡中能登町能登部上 ヲ９４,136.87608,36.96598
セブン‐イレブン／小松矢崎町店,石川県小松市今江町 ツ１２１−５,136.436,36.37034
ファミリーマート／小松義仲店,石川県小松市義仲町 １４０,136.41818,36.41443
デイリーヤマザキ／金沢大徳店,石川県金沢市松村１丁目 １,136.61699,36.58857
ファミリーマート／輪島塚田町店,石川県輪島市塚田町 ３−１８−４,136.91721,37.39271
ファミリーマート／志賀堀松店,石川県羽咋郡志賀町堀松 七１−１４,136.78654,37.02236
ファミリーマート／加賀片山津店,石川県加賀市片山津町 巳４４,136.37268,36.34037
セブン‐イレブン／小松日の出町２丁目店,石川県小松市日の出町２丁目 １００,136.45656,36.40078
ファミリーマート／金沢大桑店,石川県金沢市大桑２丁目 ４２,136.67439,36.53795
ファミリーマート／金沢けやき通り店,石川県金沢市駅西本町１丁目 １５−１８,136.64,36.58217
ファミリーマート／七尾矢田新町店,石川県七尾市矢田新町 ハ３１−１,136.97647,37.04737
ファミリーマート／辰口丘陵公園前店,石川県能美市辰口町 ６４２−１,136.54451,36.44249
セブン‐イレブン／白山横江町店,石川県白山市横江町 １１６０−１,136.5894,36.54362
セブン‐イレブン／小松長田南店,石川県小松市平面町 カ２３４−１,136.4705,36.41644
ファミリーマート／輪島横地町店,石川県輪島市横地町 １−２−２,136.90826,37.38093
ファミリーマート／金沢粟崎店,石川県金沢市粟崎町３丁目 ２９７−１,136.62338,36.62487
ファミリーマート／津幡北中条店,石川県河北郡津幡町北中条４丁目 ８３,136.72853,36.66345
セブン‐イレブン／加賀市役所前店,石川県加賀市大聖寺東町４丁目 １５,136.31657,36.30302
セブン‐イレブン／七尾大田店,石川県七尾市大田町 １０８−１０,137.01312,37.06114
ファミリーマート／金沢旭町三丁目店,石川県金沢市旭町３丁目 ３−１１,136.68057,36.55626
ファミリーマート／金沢問屋町二丁目店,石川県金沢市問屋町２丁目 １５−２,136.64339,36.60493
ローソン／金沢粟崎町店,石川県金沢市粟崎町３丁目 １−１,136.62715,36.6262
ローソン／七尾中島町店,石川県七尾市中島町崎山 ３−６１−１,136.84703,37.10819
ファミリーマート／七尾国分町店,石川県七尾市国分町 シ７−１,136.94995,37.03431
ローソン／金沢野町一丁目店,石川県金沢市野町１丁目 ２−３１,136.64838,36.55603
ファミリーマート／珠洲宝立町店,石川県珠洲市宝立町金峰寺 未１４−１,137.23416,37.40217
ファミリーマート／穴水東町店,石川県鳳珠郡穴水町字川島 ア１６,136.91136,37.23402
セブン‐イレブン／金沢小金町店,石川県金沢市小金町 ９−１７,136.67055,36.58399
ローソン／加賀大聖寺上福田店,石川県加賀市大聖寺上福田町 ヌ２２−１,136.31235,36.31465
ファミリーマート／小松向本折町店,石川県小松市向本折町 ハ３６,136.44481,36.39819
ローソン／金沢諸江中丁店,石川県金沢市諸江町中丁 ２５０−１,136.64848,36.59641
ファミリーマート／東金沢駅前店,石川県金沢市三池町 １８９−１,136.67252,36.59218
ファミリーマート／小松今江町三丁目店,石川県小松市今江町３丁目 ８０１,136.44159,36.38287
ファミリーマート／金沢東力店,石川県金沢市東力２丁目 １４８−１,136.62015,36.56232
セブン‐イレブン／能美福島町店,石川県能美市福島町 ル１７−１,136.47089,36.46192
ファミリーマート／七尾千野店,石川県七尾市千野町 に部３６,136.95567,37.01915
ファミリーマート／金沢星稜前店,石川県金沢市小坂町南 ５３８,136.67899,36.5876
ファミリーマート／珠洲野々江店,石川県珠洲市野々江町 ワ６６−１,137.27472,37.44226
セブン‐イレブン／金沢神谷内町店,石川県金沢市神谷内町ニ ６１,136.68062,36.59761
セブン‐イレブン／金沢大桑２丁目店,石川県金沢市大桑２丁目 １２９,136.67523,36.53648
ローソン／金沢長坂店,石川県金沢市長坂３丁目 ５−３３,136.65451,36.53497
ファミリーマート／羽咋四柳店,石川県羽咋市四柳町そ ３５−１,136.8541,36.92941
セブン‐イレブン／金沢桂町店,石川県金沢市桂町イ ３５−１,136.6078,36.60237
ファミリーマート／珠洲飯田店,石川県珠洲市野々江町 シ８５−１,137.27058,37.44022
ファミリーマート／小松村松店,石川県小松市村松町 甲９２−１,136.41528,36.3741
ファミリーマート／小松大領店,石川県小松市大領町 ロ２１６,136.44936,36.38611
ファミリーマート／しばはら杜の里店,石川県金沢市もりの里３丁目 １０３,136.6823,36.56072
ファミリーマート／金沢福久店,石川県金沢市福久町ホ ６１−１,136.67973,36.61438
ファミリーマート／小松千木野店,石川県小松市千木野町 と９３−７,136.47523,36.38438
セブン‐イレブン／野々市本町６丁目店,石川県野々市市本町６丁目 １０−３０,136.60837,36.53528
セブン‐イレブン／野々市三日市店,石川県野々市市三日市２丁目 ３４,136.59546,36.53452
セブン‐イレブン／七尾和倉温泉店,石川県七尾市石崎町香島１丁目 ２３−１,136.9259,37.08546
ファミリーマート／金沢上安原店,石川県金沢市上安原南 ７９,136.59213,36.55846
ファミリーマート／金沢野田店,石川県金沢市野田２丁目 １４,136.66699,36.53207
ローソン／能登総合病院店,石川県七尾市藤橋町 ア６−１９,136.94659,37.04312
セブン‐イレブン／白山安養寺店,石川県白山市安養寺町 ト６４−１,136.59375,36.49615
株式会社ローソン石川支店,石川県金沢市本多町３丁目 ３−１５,136.65929,36.5576
ファミリーマート／白山中町店,石川県白山市中町 ４９−１,136.56448,36.52259
セブン‐イレブン／金沢石川県庁前店,石川県金沢市鞍月東２丁目 １４,136.62892,36.59678
ファミリーマート／志賀高浜店,石川県羽咋郡志賀町高浜町 ヤ１６−１,136.7832,37.00113
ヤマザキＹストアー普正寺店,石川県金沢市普正寺町 ５−１８−１,136.59081,36.59559
セブン‐イレブン／かほく長柄町店,石川県かほく市長柄町 ロ３２１−１,136.74588,36.77407
ローソン／加賀別所店,石川県加賀市別所町漆器団地 ２２−６,136.36008,36.27476
ファミリーマート／野々市本町六丁目店,石川県野々市市本町６丁目 ２３−１５,136.60886,36.53297
ファミリーマート／金沢本町二丁目店,石川県金沢市本町２丁目 １１−７,136.64864,36.57566
セブン‐イレブン内灘白帆台店,石川県河北郡内灘町白帆台２丁目 １,136.65823,36.6719
ファミリーマート／加賀作見店,石川県加賀市作見町 ニ５７−１,136.35719,36.31842
ローソン／金沢米泉店,石川県金沢市米泉町７丁目 ４６,136.62186,36.55136
ローソン／小松白嶺町店,石川県小松市白嶺町１丁目 １,136.45111,36.39123
ローソン／松任乾町店,石川県白山市乾町 ３−１,136.58502,36.52225
ファミリーマート／津幡中須加店,石川県河北郡津幡町字中須加 ろ２６−１,136.72598,36.67097
ファミリーマート／金沢諸江町店,石川県金沢市諸江町下丁 ４６−１,136.64447,36.60272
セブン‐イレブン／金沢松村町店,石川県金沢市松村町ヌ ４５,136.61516,36.5903
セブン‐イレブン／白山宮永店,石川県白山市宮永町 ３１１−１,136.57211,36.5416
有限会社タケナカストアーラッキー,石川県かほく市高松 東町ル１−１１,136.74315,36.77269
ファミリーマート／白山村井店,石川県白山市村井町 ４４−１,136.55862,36.51889
ローソン／金沢金石店,石川県金沢市金石本町ロ ４,136.59735,36.59848
セブン‐イレブン／かほく白尾店,石川県かほく市白尾 ニ１０−６,136.69695,36.7229
セブン‐イレブン／金沢三ツ屋町店,石川県金沢市三ツ屋町ロ ４２−１,136.64449,36.61055
ファミリーマート／白山美川インター店,石川県白山市鹿島町 ニ１５,136.50479,36.50557
ローソン／片山津町店,石川県加賀市片山津町 ユ６１−１２,136.35631,36.337
ファミリーマート／加賀伊切町店,石川県加賀市伊切町 乙４２−１,136.35275,36.36333
ファミリーマート／小松矢田野店,石川県小松市矢田野町 へ２１−１,136.41557,36.34242
ファミリーマート／野々市扇が丘店,石川県野々市市扇が丘 ３３−１３,136.62469,36.52577
セブン‐イレブン／金沢横川６丁目店,石川県金沢市横川６丁目 １８３−２,136.6257,36.54156
ファミリーマート／金沢東大通り店,石川県金沢市昌永町 １７−８,136.65744,36.58084
セブン‐イレブン／野々市下林３丁目店,石川県野々市市下林３丁目 ２９０−３０５,136.60049,36.52385
ヤマザキデイリー河北高松店,石川県かほく市高松 東町ル１−１１,136.74315,36.77269
セブン‐イレブン／加賀山代温泉入口店,石川県加賀市山代温泉北部３丁目 ４７,136.36098,36.29499
ローソン／白山森島店,石川県白山市森島町 い１５−１,136.5995,36.4706
セブン‐イレブン／野々市新庄２丁目店,石川県野々市市新庄２丁目 ２４７−１,136.6107,36.50231
セブン‐イレブン／津幡横浜店,石川県河北郡津幡町字横浜 い１４７−１,136.73393,36.6655
セブン‐イレブン／美川インター店,石川県白山市鹿島町 ニ５０−１,136.50479,36.50557
にじいろ薬局＆ストア,石川県輪島市鳳至町下町 １６４−４,136.89493,37.39669
ファミリーマート／小松平面店,石川県小松市平面町 カ８１−１,136.4725,36.41698
ファミリーマート／志賀富来店,石川県羽咋郡志賀町富来領家町 甲６０−１,136.72328,37.14185
ローソン／津幡横浜店,石川県河北郡津幡町字横浜 へ４０−７,136.72699,36.6651
ローソン／金沢南町中央店,石川県金沢市南町 ３−１,136.65361,36.56528
ファミリーマート／輪島中段店,石川県輪島市中段町 長口３−２,136.88512,37.38723
ファミリーマート／輪島河井店,石川県輪島市河井町 ６−８８−７,136.90201,37.38921
ファミリーマート／野々市新庄四丁目店,石川県野々市市新庄４丁目 ４５−１,136.61237,36.50599
セブン‐イレブン／加賀新保町店,石川県加賀市新保町 ケ８−４,136.37474,36.36398
ローソン／野々市本町店,石川県野々市市本町５丁目 １７−１１,136.6097,36.52731
ファミリーマート／津幡加賀爪店,石川県河北郡津幡町字加賀爪 ハ８８−３,136.73105,36.66972
ファミリーマート／金沢橋場町店,石川県金沢市橋場町 １−３,136.6644,36.56841
ローソン／鶴来白山町店,石川県白山市白山町 ２０５−１,136.63094,36.42216
ローソン／金沢北塚町店,石川県金沢市北塚町西 ４−２３−１,136.59766,36.57017
ファミリーマート／小松粟津温泉店,石川県小松市井口町 と３０−２,136.44632,36.33613
ファミリーマート／能美佐野店,石川県能美市佐野町 ハ３,136.50815,36.42993
ファミリーマート／千代野ニュータウン店,石川県白山市北安田町 ２３街区１４,136.54477,36.52308
ファミリーマート／金沢土清水町店,石川県金沢市土清水２丁目 １５,136.69185,36.52737
ローソン／ゆのまち山代北店,石川県加賀市山代温泉 １０区１５−５３−１,136.35487,36.2879
セブン‐イレブン／白山中成２丁目店,石川県白山市中成２丁目 ９８,136.55608,36.52806
セブン‐イレブン／野々市住吉店,石川県野々市市住吉町 １４５−１,136.61803,36.52987
ファミリーマート／能美徳久店,石川県能美市徳久町 １３７,136.52814,36.44964
ファミリーマート／金沢新神田店,石川県金沢市新神田４丁目 ５−３５,136.62909,36.56324
ファミリーマート／かほく七塚店,石川県かほく市浜北 イ１２−４,136.69989,36.73368
セブン‐イレブン／野々市矢作北店,石川県野々市市矢作４丁目 ８,136.61391,36.52246
セブン‐イレブン／白山八ツ矢町店,石川県白山市八ツ矢町 ５８４−１,136.57387,36.52546
ローソン／金沢大額店,石川県金沢市大額２丁目 ３０,136.62468,36.51661
ファミリーマート／金沢入江１丁目店,石川県金沢市入江１丁目 １４８,136.62892,36.56399
ファミリーマート／小松河田町店,石川県小松市河田町 丙−３３−１,136.51018,36.41841
ファミリーマート／河北内灘店,石川県河北郡内灘町字鶴ケ丘１丁目 ３０３,136.64169,36.63961
ローソン／金沢有松店,石川県金沢市有松３丁目 ４−１,136.64111,36.54034
ローソン／野々市押越店,石川県野々市市押越２丁目 ２４,136.60605,36.53968
ローソン／松任茶屋店,石川県白山市茶屋２丁目 ４５,136.56154,36.51945
ファミリーマート／工大前店,石川県野々市市高橋町 ２０−５,136.62569,36.53098
ローソン／七尾小島町店,石川県七尾市小島町 ９−９,136.95209,37.05344
ファミリーマート／加賀加茂町店,石川県加賀市加茂町 １１６−２,136.35799,36.30618
セブン‐イレブン／金沢近岡町店,石川県金沢市近岡町 ５２−１,136.62994,36.60577
ファミリーマート／金沢松島南店,石川県金沢市新保本４丁目 ６５−７,136.60321,36.55902
セブン‐イレブン／金沢入江１丁目店,石川県金沢市入江１丁目 ２０２,136.63142,36.56673
デイリーヤマザキ／白山横江町店,石川県白山市横江町 １１２７−１,136.5894,36.54362
デイリーヤマザキ／金沢片町店,石川県金沢市片町１丁目 ７−１６,136.65106,36.55878
ファミリーマート／石川屋金沢笠舞店,石川県金沢市笠舞本町２丁目 ２−８,136.67111,36.54877
ファミリーマート／ますほ店,石川県羽咋郡志賀町里本江 乙１７９,136.72321,37.14757
ファミリーマート／鹿島バイパス店,石川県鹿島郡中能登町最勝講 る４９,136.89984,36.97129
ファミリーマート／輪島中央店,石川県輪島市河井町 ２３−２２−２８,136.90788,37.38753
デイリーヤマザキ／金沢南新保町店,石川県金沢市南新保町ロ ３８−１,136.63716,36.59935
デイリーヤマザキ／徳光パーキングエリア下り店,石川県白山市徳光町 ２４６４−３,136.5367,36.5332
ローソン／天神町店,石川県小松市梯町 ロ１０,136.45047,36.41824
セブン‐イレブン／小松矢田野町店,石川県小松市矢田野町 ヘ１０４,136.42546,36.34797
ファミリーマート／金沢みなと店,石川県金沢市大野町４丁目 ヲ３１−１,136.60498,36.6092
ファミリーマート／金沢元菊店,石川県金沢市元菊町 ５−１,136.6422,36.57067
